date,fg,close,strategy_equity,benchmark_equity,strategy_weight,buying_active
2020-07-16,50.0,10473.830078125,100.0,100.0,0.06,False
2020-07-17,50.0,10503.1904296875,100.01681926363719,100.28032106061966,0.12015807449122405,False
2020-07-20,50.0,10767.08984375,100.31877493124401,102.79992861672909,0.1828063649651415,False
2020-07-21,50.0,10680.3603515625,100.17105401266605,101.97186962073069,0.2416012604006219,False
2020-07-22,50.0,10706.1298828125,100.22944718259713,102.21790694478294,0.3020430996776186,False
2020-07-23,50.0,10461.419921875,99.53748335320637,99.881512721159,0.2971910488398151,True
2020-07-24,50.0,10363.1796875,99.25969045700411,98.94355369717046,0.2952241342431569,True
2020-07-27,50.0,10536.26953125,99.74913482065422,100.59614728002326,0.2986822953164486,True
2020-07-28,50.0,10402.08984375,99.3697163040019,99.31505252768198,0.29600448830330395,True
2020-07-29,50.0,10542.9404296875,99.76799805127467,100.65983838812546,0.34881489412428335,True
2020-07-30,50.0,10587.8095703125,99.91610392324439,101.08823125196149,0.34978014731303364,True
2020-07-31,50.0,10745.26953125,100.43585412327324,102.59159687621735,0.3531450004468755,True
2020-08-03,50.0,10902.7998046875,100.95583641364253,104.09563381650062,0.35647668642118935,True
2020-08-04,50.0,10941.169921875,101.08249004650636,104.46197656696816,0.3572830037711066,True
2020-08-05,50.0,10998.400390625,101.27139868971608,105.00839051795947,0.4084819088647098,True
2020-08-06,50.0,11108.0703125,101.6838926968669,106.05547569173987,0.4108814793497028,True
2020-08-07,50.0,11010.98046875,101.31871528069502,105.12850014386675,0.40875815219741846,True
2020-08-10,50.0,10968.3603515625,101.15841113692125,104.72158006907468,0.40782122053637304,True
2020-08-11,50.0,10782.8203125,100.46055202576912,102.95011693019862,0.4037075923674414,True
2020-08-12,50.0,11012.240234375,101.32345355133334,105.14052788935817,0.4587858009183157,True
2020-08-13,50.0,11042.5,101.45118852865927,105.42943620082868,0.45946723190449523,True
2020-08-14,50.0,11019.2998046875,101.35325398220823,105.20792988327865,0.4589449316387864,True
2020-08-17,50.0,11129.73046875,101.81941285947516,106.26227832352248,0.4614220390598923,True
2020-08-18,50.0,11210.83984375,102.16179833281093,107.03667865649524,0.4632270314650178,True
2020-08-19,50.0,11146.4599609375,101.89003274899206,106.42200491888173,0.5117953269573604,True
2020-08-20,50.0,11264.9501953125,102.44436942863231,107.55330295876946,0.5144370510359868,True
2020-08-21,50.0,11311.7998046875,102.66354746503649,108.00060455737804,0.5154736870799612,True
2020-08-24,50.0,11379.7197265625,102.98129942301182,108.6490771922058,0.5169687078796942,True
2020-08-25,50.0,11466.4697265625,103.38714474193154,109.4773319887122,0.5188648429290574,True
2020-08-26,50.0,11665.0595703125,104.31621400384432,111.37338951751212,0.573149966670643,True
2020-08-27,50.0,11625.33984375,104.1126320035404,110.99416122885144,0.5723153034607835,True
2020-08-28,50.0,11695.6298828125,104.47290101826457,111.66526280810376,0.5737901504568275,True
2020-08-31,50.0,11775.4599609375,104.88206715296928,112.42744891891081,0.5754528811928293,True
2020-09-01,50.0,11939.669921875,105.7237192792719,113.9952608817997,0.5788326429690476,True
2020-09-02,50.0,12056.4404296875,106.3222222301814,115.1101396505166,0.631203454081931,True
2020-09-03,50.0,11458.099609375,102.99161868653607,109.39741740994715,0.6192770944578789,True
2020-09-04,2.6,11313.1298828125,102.18465939407434,108.01330361889687,1.0,True
2020-09-08,3.8,10847.6904296875,97.9806263387835,103.56947123233671,1.0,True
2020-09-09,3.4000000000000004,11141.5595703125,100.6349685369418,106.37521792130349,1.0,True
2020-09-10,50.0,10919.58984375,98.63005025707264,104.25593848955013,1.0,True
2020-09-11,50.0,10853.5498046875,98.03355052906852,103.62541423462235,1.0,True
2020-09-14,50.0,11056.650390625,99.86803527482314,105.56453855134849,1.0,True
2020-09-15,50.0,11190.3203125,101.07539482779539,106.8407662624909,1.0,True
2020-09-16,50.0,11050.4697265625,99.81220907477083,105.50552800777086,1.0,True
2020-09-17,50.0,10910.2802734375,98.54596253940812,104.16705438275196,1.0,True
2020-09-18,50.0,10793.2802734375,97.48917230779676,103.04998451311221,1.0,True
2020-09-21,50.0,10778.7998046875,97.35837899220572,102.91173070679693,1.0,True
2020-09-22,50.0,10963.6396484375,99.02792549893707,104.67650865689988,1.0,True
2020-09-23,50.0,10632.990234375,96.04136933766128,101.5195984187524,1.0,True
2020-09-24,50.0,10672.26953125,96.39615546793532,101.89462165840793,1.0,True
2020-09-25,50.0,10913.5595703125,98.57558244457097,104.19836381636449,1.0,True
2020-09-28,50.0,11117.5302734375,100.41792643258292,106.14579566893005,1.0,True
2020-09-29,50.0,11085.25,100.12635824760434,105.83759634550474,1.0,True
2020-09-30,50.0,11167.509765625,100.8693609550158,106.62298015459288,1.0,True
2020-10-01,50.0,11326.509765625,102.30551178259019,108.14104946461613,1.0,True
2020-10-02,50.0,11075.01953125,100.0339526113667,105.73991986351399,1.0,True
2020-10-05,50.0,11332.490234375,102.35952973947444,108.19814862228236,1.0,True
2020-10-06,50.0,11154.599609375,100.75275132242112,106.4997190728902,1.0,True
2020-10-07,50.0,11364.599609375,102.64955430223637,108.50471627480769,1.0,True
2020-10-08,50.0,11420.98046875,103.15880850255563,109.0430184904676,1.0,True
2020-10-09,50.0,11579.9404296875,104.59459768149641,110.56070552330857,1.0,True
2020-10-12,50.0,11876.259765625,107.27107101189223,113.38984571106445,1.0,True
2020-10-13,50.0,11863.900390625,107.15943625318435,113.2718432715766,1.0,True
2020-10-14,50.0,11768.73046875,106.29982391317824,112.36319838078575,1.0,True
2020-10-15,50.0,11713.8701171875,105.80430354023795,111.83941337421896,1.0,True
2020-10-16,50.0,11671.5595703125,105.4221379621898,111.43544895471433,1.0,True
2020-10-19,50.0,11478.8798828125,103.68177888885708,109.5958192675532,1.0,True
2020-10-20,50.0,11516.490234375,104.02149044559826,109.95490807539103,1.0,True
2020-10-21,50.0,11484.6904296875,103.73426204422306,109.65129607815311,1.0,True
2020-10-22,50.0,11506.009765625,103.92682671057513,109.85484469196945,1.0,True
2020-10-23,50.0,11548.2802734375,104.30863063998966,110.25842683429178,1.0,True
2020-10-26,50.0,11358.9404296875,102.59843835511941,108.45068465843349,1.0,True
2020-10-27,2.7,11431.349609375,103.25246667796335,109.14201895684576,1.0,True
2020-10-28,2.3000000000000003,11004.8701171875,99.40033538457601,105.07016091631654,1.0,True
2020-10-29,0.3,11185.58984375,101.03266736483862,106.79560161197897,1.0,True
2020-10-30,1.1,10911.58984375,98.55779109593682,104.17955764376279,1.0,True
2020-11-02,1.9,10957.6103515625,98.97346650713378,104.61894330754795,1.0,True
2020-11-03,2.8000000000000003,11160.5703125,100.80668107232157,106.55672499221926,1.0,True
2020-11-04,3.6,11590.7802734375,104.6925074335237,110.66420007753702,1.0,True
2020-11-05,50.0,11890.9296875,107.40357554296916,113.52990834112029,1.0,True
2020-11-06,50.0,11895.23046875,107.44242189863837,113.57097050479794,1.0,True
2020-11-09,50.0,11713.7802734375,105.8034920359869,111.83855558151726,1.0,True
2020-11-10,50.0,11553.8603515625,104.35903211053777,110.31170322013514,1.0,True
2020-11-11,50.0,11786.4296875,106.45969025063253,112.53218354302325,1.0,True
2020-11-12,50.0,11709.58984375,105.76564241923474,111.7985470110493,1.0,True
2020-11-13,50.0,11829.2900390625,106.8468218818691,112.94139728090902,1.0,True
2020-11-16,50.0,11924.1298828125,107.7034528258225,113.84689071590446,1.0,True
2020-11-17,50.0,11899.33984375,107.47953939742494,113.61020519706761,1.0,True
2020-11-18,50.0,11801.599609375,106.59671097928046,112.67701997594077,1.0,True
2020-11-19,50.0,11904.7099609375,107.52804441782116,113.6614769586624,1.0,True
2020-11-20,50.0,11854.9697265625,107.0787709664916,113.18657681225956,1.0,True
2020-11-23,50.0,11880.6298828125,107.31054363714648,113.43156986693583,1.0,True
2020-11-24,50.0,12036.7900390625,108.7210438738294,114.92252546851797,1.0,True
2020-11-25,50.0,12094.400390625,109.24140333341013,115.47256639082416,1.0,True
2020-11-27,50.0,12205.849609375,110.24805671542481,116.53663958963196,1.0,True
2020-11-30,50.0,12198.740234375,110.18384203121231,116.46876208019205,1.0,True
2020-12-01,50.0,12355.1103515625,111.59623871804712,117.96172230602278,1.0,True
2020-12-02,50.0,12349.3701171875,111.54439065296455,117.90691681145027,1.0,True
2020-12-03,50.0,12377.1796875,111.79557768075566,118.17243162413165,1.0,True
2020-12-04,50.0,12464.23046875,112.58185473442349,119.00355816142205,1.0,True
2020-12-07,50.0,12519.9501953125,113.08513732193892,119.53554814165739,1.0,True
2020-12-08,50.0,12582.76953125,113.65254638668303,120.13532239299549,1.0,True
2020-12-09,50.0,12338.9501953125,111.45027380124102,117.80743150571895,1.0,True
2020-12-10,50.0,12405.8095703125,112.05417409518665,118.44577845713302,1.0,True
2020-12-11,50.0,12377.8701171875,111.8018139145109,118.17902357456764,1.0,True
2020-12-14,50.0,12440.0400390625,112.36335721483177,118.77259747648577,1.0,True
2020-12-15,50.0,12595.0595703125,113.76355487580587,120.25266284028963,1.0,True
2020-12-16,50.0,12658.1904296875,114.33377774333347,120.8554113945826,1.0,True
2020-12-17,50.0,12764.75,115.2962658885553,121.87280015798304,1.0,True
2020-12-18,50.0,12755.6396484375,115.21397759336047,121.78581811326256,1.0,True
2020-12-21,50.0,12742.51953125,115.09547151061392,121.6605524073113,1.0,True
2020-12-22,50.0,12807.919921875,115.68619368117858,122.28496955115624,1.0,True
2020-12-23,50.0,12771.1103515625,115.35371509710968,121.9335262869641,1.0,True
2020-12-24,50.0,12804.73046875,115.65738528026677,122.25451791024543,1.0,True
2020-12-28,50.0,12899.419921875,116.51265783666952,123.15857547484887,1.0,True
2020-12-29,50.0,12850.2197265625,116.06826223154455,122.68883140849003,1.0,True
2020-12-30,50.0,12870.0,116.24692547724841,122.87768566037265,1.0,True
2020-12-31,50.0,12888.2802734375,116.4120401302393,123.05221850367015,1.0,True
2021-01-04,50.0,12698.4501953125,114.69741985478187,121.23979576328725,1.0,True
2021-01-05,50.0,12818.9599609375,115.78591167637396,122.3903754912961,1.0,True
2021-01-06,50.0,12740.7900390625,115.07985005378146,121.64403989780332,1.0,True
2021-01-07,50.0,13067.48046875,118.03064710382132,124.76315131407316,1.0,True
2021-01-08,50.0,13201.98046875,119.24550425041727,126.04730428387269,1.0,True
2021-01-11,50.0,13036.4296875,117.75018417810422,124.4666906972941,1.0,True
2021-01-12,50.0,13072.4296875,118.0753504032154,124.8104045033371,1.0,True
2021-01-13,50.0,13128.9501953125,118.58586596340312,125.35004002721814,1.0,True
2021-01-14,50.0,13112.6396484375,118.43854265904638,125.19431335652233,1.0,True
2021-01-15,50.0,12998.5,117.4075882529925,124.1045529958317,1.0,True
2021-01-19,50.0,13197.1796875,119.20214169717707,126.00146831733332,1.0,True
2021-01-20,50.0,13457.25,121.55119952437461,128.48451712144907,1.0,True
2021-01-21,50.0,13530.91015625,122.2165271618444,129.18779525084935,1.0,True
2021-01-22,50.0,13543.0595703125,122.32626547040039,129.30379306608864,1.0,True
2021-01-25,68.9,13635.990234375,123.16565194901925,130.19105840617266,1.0,True
2021-01-26,69.7,13626.0595703125,123.07595426718451,130.09624434113223,1.0,True
2021-01-27,67.4,13270.599609375,119.86529944284518,126.70245278363987,1.0,True
2021-01-28,28.200000000000003,13337.16015625,120.46650060308629,127.33794664193738,1.0,True
2021-01-29,52.900000000000006,13070.6904296875,118.05964073939913,124.79379875549196,1.0,True
2021-02-01,40.96666666666668,13403.3896484375,121.06471154657629,127.97027972060573,1.0,True
2021-02-02,43.400000000000006,13612.7802734375,122.95601041060189,129.96945885028552,1.0,True
2021-02-03,60.46666666666667,13610.5400390625,122.93577572851625,129.94806997574497,1.0,True
2021-02-04,59.2,13777.740234375,124.44599396039453,131.544431517467,1.0,True
2021-02-05,61.06666666666667,13856.2998046875,125.15557504164099,132.29448732061178,1.0,True
2021-02-08,68.0,13987.6396484375,126.34188840827655,133.54846836451193,1.0,True
